source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,va_long_beach,cleveland -> va_long_beach,4,pseudo_label_sfda,0.0007895775759968,False,1.0,1.0,0.0912151164638299,0.2689675783444181,0.1322796369814161,0.9991921681195274,0.9866666666666666,0.0364921073615551
cleveland,va_long_beach,cleveland -> va_long_beach,4,entropy_sfda,-0.0011843663639953,True,1.0,1.0,0.1045513879840929,0.3147293264899201,0.1576167810157319,0.998907240573631,0.9833333333333332,0.0382091897726058
cleveland,va_long_beach,cleveland -> va_long_beach,4,reliability_gated_sfda,0.0,False,1.0,1.0,0.0220347498627229,0.062375780159964,0.0303828832324723,0.99998532241552,0.9983333333333334,0.0036212549731135
cleveland,va_long_beach,cleveland -> va_long_beach,4,conservative_candidate,-0.0006579813133307,True,1.0,1.0,0.0055986731543654,0.0221544199889831,0.0107353159333313,0.9999775093355096,0.995,0.0036598449200391
cleveland,va_long_beach,cleveland -> va_long_beach,5,pseudo_label_sfda,0.0027635215159889,False,1.0,1.0,0.0782748786137287,0.2027750129306514,0.0970070846454038,0.9991472635414776,0.9883333333333332,0.0253777519613504
cleveland,va_long_beach,cleveland -> va_long_beach,5,entropy_sfda,0.0034215028293196,False,1.0,1.0,0.0769328905014707,0.2143407047367509,0.1062809832860808,0.9986959298449984,0.9816666666666666,0.02741260740906
cleveland,va_long_beach,cleveland -> va_long_beach,5,reliability_gated_sfda,-1.1102230246251563e-16,False,1.0,1.0,0.0177483124881545,0.042067224291386,0.0208221626507572,0.999982210056554,0.9983333333333332,0.0028982688114047
cleveland,va_long_beach,cleveland -> va_long_beach,5,conservative_candidate,-0.0006579813133307,True,1.0,1.0,0.0108973778686949,0.0262473615887574,0.0147392641879884,0.9999724777407198,1.0,0.0026376881077885
cleveland,va_long_beach,cleveland -> va_long_beach,6,pseudo_label_sfda,0.0005263850506644,False,0.9523809523809524,1.0,0.0882912239496645,0.1903546440516947,0.0879371816146335,0.9997675626203072,0.9866666666666668,0.0185545798204839
cleveland,va_long_beach,cleveland -> va_long_beach,6,entropy_sfda,0.0023687327279904,False,0.9523809523809524,1.0,0.127231662827492,0.2750170405613062,0.1316844851565891,0.9991969807025612,0.985,0.0287143992260098
