source,target,seed,model_state,feature,mean_abs_shap,importance_rank,importance_fraction,top3
cleveland,hungary,7,conservative_candidate,oldpeak,0.5053111359185609,4,0.15558266378589325,False
cleveland,hungary,7,entropy_sfda,age,0.2416091960360657,7,0.06044325939417919,False
cleveland,hungary,7,entropy_sfda,sex,0.7469746644805078,2,0.1868703019041365,True
cleveland,hungary,7,entropy_sfda,cp,0.8461254990011896,1,0.21167481973047086,True
cleveland,hungary,7,entropy_sfda,trestbps,0.2612185247739789,6,0.0653489159788503,False
cleveland,hungary,7,entropy_sfda,restecg,0.0826136113190389,8,0.020667408444590748,False
cleveland,hungary,7,entropy_sfda,thalach,0.6685349006003061,3,0.16724706291814412,True
cleveland,hungary,7,entropy_sfda,exang,0.5247576564271637,5,0.13127837709361842,False
cleveland,hungary,7,entropy_sfda,oldpeak,0.6254552804934633,4,0.15646985453600992,False
cleveland,hungary,7,pseudo_label_sfda,age,0.2179160362606881,7,0.055150602966937794,False
cleveland,hungary,7,pseudo_label_sfda,sex,0.7735977256987371,2,0.19578357682267428,True
cleveland,hungary,7,pseudo_label_sfda,cp,0.8432640163173469,1,0.21341485352913012,True
cleveland,hungary,7,pseudo_label_sfda,trestbps,0.2463317656506258,6,0.0623421095512704,False
cleveland,hungary,7,pseudo_label_sfda,restecg,0.0773874497394311,8,0.01958536227273126,False
cleveland,hungary,7,pseudo_label_sfda,thalach,0.6829503860489345,3,0.17284237651075726,True
cleveland,hungary,7,pseudo_label_sfda,exang,0.4974430148952267,5,0.12589381985795736,False
cleveland,hungary,7,pseudo_label_sfda,oldpeak,0.612399791487727,4,0.15498729848854162,False
cleveland,hungary,7,reliability_gated_sfda,age,0.155234485344334,7,0.04679305772807661,False
