source,target,seed,method,fold,adapt_n,test_n,missingness_rate,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after,selected_per_class,available_positive,available_negative,teacher_positive_rate,class_support_score,reliability_score,mean_abs_teacher_drift,reliability_mode,missingness_factor,teacher_drift
switzerland,va_long_beach,0,conservative_candidate,5,160,40,0.14765625,0.0,,,,0.0,True,0.22658321261405945,0.22658321261405945,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.85234375,0.0
switzerland,cleveland,1,pseudo_label_sfda,1,242,61,0.0,131.0,0.5413223140495868,131.0,0.0,0.9557452201843262,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,1,pseudo_label_sfda,2,242,61,0.0,138.0,0.5702479338842975,138.0,0.0,0.9557875394821167,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,1,pseudo_label_sfda,3,242,61,0.0,132.0,0.5454545454545454,132.0,0.0,0.9567749500274658,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,1,pseudo_label_sfda,4,243,60,0.0,135.0,0.5555555555555556,135.0,0.0,0.9566294550895691,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,1,pseudo_label_sfda,5,243,60,0.0,136.0,0.5596707818930041,136.0,0.0,0.9558371305465698,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,1,entropy_sfda,1,242,61,0.0,,,,,,,0.29406794905662537,0.1675826758146286,0.9025192856788635,0.9551260471343994,1.0,1.0,0.9025192856788635,0.9551260471343994,,,,,,,,,,
switzerland,cleveland,1,entropy_sfda,2,242,61,0.0,,,,,,,0.28794530034065247,0.1632409542798996,0.9049106240272522,0.9562638998031616,1.0,1.0,0.9049106240272522,0.9562638998031616,,,,,,,,,,
switzerland,cleveland,1,entropy_sfda,3,242,61,0.0,,,,,,,0.29345324635505676,0.16772454977035522,0.9022158980369568,0.954820990562439,1.0,1.0,0.9022158980369568,0.954820990562439,,,,,,,,,,
switzerland,cleveland,1,entropy_sfda,4,243,60,0.0,,,,,,,0.29265278577804565,0.16753223538398743,0.9024590253829956,0.9547232985496521,1.0,1.0,0.9024590253829956,0.9547232985496521,,,,,,,,,,
switzerland,cleveland,1,entropy_sfda,5,243,60,0.0,,,,,,,0.2905813157558441,0.1642632782459259,0.9040645956993103,0.9561512470245361,1.0,1.0,0.9040645956993103,0.9561512470245361,,,,,,,,,,
switzerland,cleveland,1,reliability_gated_sfda,1,242,61,0.0,0.0,0.0,,,0.0,True,0.29406794905662537,0.29406794905662537,0.9025192856788635,0.9025192856788635,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,cleveland,1,reliability_gated_sfda,2,242,61,0.0,0.0,0.0,,,0.0,True,0.28794530034065247,0.28794530034065247,0.9049106240272522,0.9049106240272522,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,cleveland,1,reliability_gated_sfda,3,242,61,0.0,0.0,0.0,,,0.0,True,0.29345324635505676,0.29345324635505676,0.9022158980369568,0.9022158980369568,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,cleveland,1,reliability_gated_sfda,4,243,60,0.0,0.0,0.0,,,0.0,True,0.29265278577804565,0.29265278577804565,0.9024590253829956,0.9024590253829956,1.0,1.0,,,0.0,243.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,cleveland,1,reliability_gated_sfda,5,243,60,0.0,0.0,0.0,,,0.0,True,0.2905813157558441,0.2905813157558441,0.9040645956993103,0.9040645956993103,1.0,1.0,,,0.0,243.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,cleveland,1,conservative_candidate,1,242,61,0.0,0.0,,,,0.0,True,0.29406794905662537,0.29406794905662537,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,cleveland,1,conservative_candidate,2,242,61,0.0,0.0,,,,0.0,True,0.28794530034065247,0.28794530034065247,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,cleveland,1,conservative_candidate,3,242,61,0.0,0.0,,,,0.0,True,0.29345324635505676,0.29345324635505676,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,cleveland,1,conservative_candidate,4,243,60,0.0,0.0,,,,0.0,True,0.29265278577804565,0.29265278577804565,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,cleveland,1,conservative_candidate,5,243,60,0.0,0.0,,,,0.0,True,0.2905813157558441,0.2905813157558441,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,hungary,1,pseudo_label_sfda,1,235,59,0.0005319148936170213,117.0,0.4978723404255319,117.0,0.0,0.9623750448226929,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,1,pseudo_label_sfda,2,235,59,0.002127659574468085,119.0,0.5063829787234042,119.0,0.0,0.9640525579452515,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,1,pseudo_label_sfda,3,235,59,0.002127659574468085,113.0,0.4808510638297872,113.0,0.0,0.9637081027030945,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,1,pseudo_label_sfda,4,235,59,0.001595744680851064,116.0,0.49361702127659574,116.0,0.0,0.9639138579368591,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,1,pseudo_label_sfda,5,236,58,0.00211864406779661,127.0,0.538135593220339,127.0,0.0,0.9625254273414612,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,1,entropy_sfda,1,235,59,0.0005319148936170213,,,,,,,0.2929912209510803,0.16408206522464752,0.9021441340446472,0.9563387632369995,1.0,1.0,0.9021441340446472,0.9563387632369995,,,,,,,,,,
switzerland,hungary,1,entropy_sfda,2,235,59,0.002127659574468085,,,,,,,0.2857007682323456,0.1594296246767044,0.9052736759185791,0.9578909873962402,1.0,1.0,0.9052736759185791,0.9578909873962402,,,,,,,,,,
switzerland,hungary,1,entropy_sfda,3,235,59,0.002127659574468085,,,,,,,0.289855033159256,0.16053210198879242,0.9043534398078918,0.9578852653503418,1.0,1.0,0.9043534398078918,0.9578852653503418,,,,,,,,,,
switzerland,hungary,1,entropy_sfda,4,235,59,0.001595744680851064,,,,,,,0.288839727640152,0.16200971603393555,0.9039515256881714,0.9570095539093018,1.0,1.0,0.9039515256881714,0.9570095539093018,,,,,,,,,,
