source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n
va_long_beach,hungary,reliability_gated_sfda,delta_roc_auc,0.00032115616218392207,-0.0004969138900040445,0.0011942994781211976,True,0.7846,10,294,106,188
va_long_beach,hungary,reliability_gated_sfda,brier_improvement,0.0003007434464469383,-0.0002542068750737401,0.0008739990811828708,True,0.8494,10,294,106,188
va_long_beach,hungary,reliability_gated_sfda,delta_balanced_accuracy,-0.0018617021276595923,-0.00815021577679648,0.0033874448012846162,True,0.2592,10,294,106,188
va_long_beach,hungary,conservative_candidate,delta_roc_auc,-0.0003010839020473166,-0.0010136491368927694,0.0003010839020473738,True,0.1732,10,294,106,188
va_long_beach,hungary,conservative_candidate,brier_improvement,-4.445704109030113e-05,-0.0003902503172601252,0.0003135230302757521,True,0.3936,10,294,106,188
va_long_beach,hungary,conservative_candidate,delta_balanced_accuracy,-0.0015355279004416245,-0.008510638297872353,0.004051083902047399,True,0.334,10,294,106,188
va_long_beach,switzerland,pseudo_label_sfda,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,123,115,8
va_long_beach,switzerland,pseudo_label_sfda,brier_improvement,-1.5012597137653573e-10,-1.2575144370252642e-09,9.36059146514067e-10,True,0.3926,10,123,115,8
va_long_beach,switzerland,pseudo_label_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,123,115,8
va_long_beach,switzerland,entropy_sfda,delta_roc_auc,0.005326086956521725,-0.003695652173913033,0.015543478260869525,True,0.8772,10,123,115,8
va_long_beach,switzerland,entropy_sfda,brier_improvement,0.019654268450390637,0.01677521273638787,0.02282419076985932,False,1.0,10,123,115,8
va_long_beach,switzerland,entropy_sfda,delta_balanced_accuracy,-0.058043478260869565,-0.15092391304347827,0.006365489130434697,True,0.0474,10,123,115,8
va_long_beach,switzerland,reliability_gated_sfda,delta_roc_auc,-0.0003260869565217539,-0.0028260869565217344,0.0018478260869565276,True,0.3424,10,123,115,8
va_long_beach,switzerland,reliability_gated_sfda,brier_improvement,0.00023817573307525624,1.995269161647162e-05,0.000513842742761307,False,0.9874,10,123,115,8
va_long_beach,switzerland,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,123,115,8
va_long_beach,switzerland,conservative_candidate,delta_roc_auc,-0.00043478260869567187,-0.0023913043478260734,0.0008695652173912994,True,0.2024,10,123,115,8
va_long_beach,switzerland,conservative_candidate,brier_improvement,-0.00014918106100343247,-0.00037930388584869377,0.00010194040532517683,True,0.1172,10,123,115,8
va_long_beach,switzerland,conservative_candidate,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,123,115,8
