architecture,source,target,seed,method,n,prevalence,roc_auc,average_precision,brier,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability
dual_head,hungary,va_long_beach,6,dlar_lcl,200,0.745,0.7227924726937756,0.8800046481521758,0.25021897876218147,0.280358317643404,0.6,0.6541650217133833,0.5436241610738255,0.7647058823529411,0.465,0.4655750472843647
dual_head,hungary,va_long_beach,7,dual_head_source_only,200,0.745,0.7322674036057376,0.8855689257907566,0.22298200050969366,0.22066073052585122,0.64,0.6745624424266351,0.6040268456375839,0.7450980392156863,0.515,0.5243392694741488
dual_head,hungary,va_long_beach,7,dlar_lcl,200,0.745,0.7321358073430715,0.8854705429928695,0.22573433649365568,0.22372780822217467,0.645,0.6843663639952625,0.6040268456375839,0.7647058823529411,0.51,0.5212721917778254
dual_head,hungary,va_long_beach,8,dual_head_source_only,200,0.745,0.7347677325963943,0.8795408770129974,0.21574938552118855,0.19999686043709516,0.655,0.6588366890380313,0.6510067114093959,0.6666666666666666,0.57,0.5459668252244592
dual_head,hungary,va_long_beach,8,dlar_lcl,200,0.745,0.7341097512830635,0.8789278145655004,0.2189861021185057,0.20465982265770438,0.655,0.6588366890380313,0.6510067114093959,0.6666666666666666,0.57,0.5424385303258896
dual_head,hungary,va_long_beach,9,dual_head_source_only,200,0.745,0.7480589551256743,0.888830597817996,0.21288387234555664,0.1981634297966957,0.66,0.6944334780892223,0.6241610738255033,0.7647058823529411,0.525,0.5468365702033043
dual_head,hungary,va_long_beach,9,dlar_lcl,200,0.745,0.7484537439136728,0.889063319848841,0.2149646606716542,0.19920816183090218,0.66,0.6944334780892223,0.6241610738255033,0.7647058823529411,0.525,0.5457918381690979
dual_head,switzerland,cleveland,0,dual_head_source_only,303,0.45874587458745875,0.35743112826811724,0.3778984066929927,0.285256196579089,0.18727056932921454,0.45874587458745875,0.5,1.0,0.0,1.0,0.6352418515548455
dual_head,switzerland,cleveland,0,dlar_lcl,303,0.45874587458745875,0.34532374100719426,0.3721593887327589,0.28588438578212033,0.18586079791040705,0.45874587458745875,0.5,1.0,0.0,1.0,0.6350592622662535
dual_head,switzerland,cleveland,1,dual_head_source_only,303,0.45874587458745875,0.5933935778206703,0.5861724065777012,0.2645642487682987,0.14827119812320166,0.45874587458745875,0.5,1.0,0.0,1.0,0.6032328045014108
dual_head,switzerland,cleveland,1,dlar_lcl,303,0.45874587458745875,0.5909370064923671,0.5822239868094801,0.26487430828547665,0.1492659559737731,0.45874587458745875,0.5,1.0,0.0,1.0,0.6042655869679089
dual_head,switzerland,cleveland,2,dual_head_source_only,303,0.45874587458745875,0.6028250570275486,0.5582023627818596,0.2959632407972616,0.22730208485826803,0.45874587458745875,0.5,1.0,0.0,1.0,0.6860479594457267
dual_head,switzerland,cleveland,2,dlar_lcl,303,0.45874587458745875,0.6061151079136691,0.562675052105191,0.2954889558656678,0.22666852151600053,0.45874587458745875,0.5,1.0,0.0,1.0,0.6854143961034592
dual_head,switzerland,cleveland,3,dual_head_source_only,303,0.45874587458745875,0.6790226355500966,0.6639281209513564,0.3105798341684116,0.27535887205167964,0.45874587458745875,0.5,1.0,0.0,1.0,0.7335970747982314
dual_head,switzerland,cleveland,3,dlar_lcl,303,0.45874587458745875,0.6826197578522547,0.6677619570024094,0.30938075244137025,0.27417680158866903,0.45874587458745875,0.5,1.0,0.0,1.0,0.7324244820638852
dual_head,switzerland,cleveland,4,dual_head_source_only,303,0.45874587458745875,0.8389191086155466,0.8267128483062769,0.314875888915491,0.31607521976968245,0.45874587458745875,0.5,1.0,0.0,1.0,0.7721940501294907
dual_head,switzerland,cleveland,4,dlar_lcl,303,0.45874587458745875,0.8399280575539567,0.8290922201669049,0.31327653002345396,0.31459764423150044,0.45874587458745875,0.5,1.0,0.0,1.0,0.7707755984646258
dual_head,switzerland,cleveland,5,dual_head_source_only,303,0.45874587458745875,0.5002193367257414,0.4720688809686838,0.2937928669987328,0.2136184012535775,0.45874587458745875,0.5,1.0,0.0,1.0,0.6723642758410363
dual_head,switzerland,cleveland,5,dlar_lcl,303,0.45874587458745875,0.4944288471661694,0.4646361941328099,0.2932524460383611,0.21180861322793232,0.45874587458745875,0.5,1.0,0.0,1.0,0.6705544878153911
dual_head,switzerland,cleveland,6,dual_head_source_only,303,0.45874587458745875,0.3063256711703808,0.3664477025484529,0.37106546041136906,0.3366723491413758,0.45874587458745875,0.5,1.0,0.0,1.0,0.7854652516912706
dual_head,switzerland,cleveland,6,dlar_lcl,303,0.45874587458745875,0.2973767327601334,0.3617318355616034,0.37252877962534325,0.33951972872510605,0.45874587458745875,0.5,1.0,0.0,1.0,0.7862809213868068
dual_head,switzerland,cleveland,7,dual_head_source_only,303,0.45874587458745875,0.7695209685909808,0.7506732657424646,0.2910214555680595,0.2482272608838853,0.45874587458745875,0.5,1.0,0.0,1.0,0.6854332738583631
dual_head,switzerland,cleveland,7,dlar_lcl,303,0.45874587458745875,0.7806413405860677,0.7645198658547504,0.28953209632280646,0.2604936190170817,0.45874587458745875,0.5,1.0,0.0,1.0,0.6840224759806894
dual_head,switzerland,cleveland,8,dual_head_source_only,303,0.45874587458745875,0.40068433058431296,0.3981256545998646,0.2990855578450538,0.21963845326168704,0.45874587458745875,0.5,1.0,0.0,1.0,0.6703126267238025
dual_head,switzerland,cleveland,8,dlar_lcl,303,0.45874587458745875,0.39862256536234425,0.3972478474512413,0.29900558119849185,0.2150971368201102,0.45874587458745875,0.5,1.0,0.0,1.0,0.6696966274736738
dual_head,switzerland,cleveland,9,dual_head_source_only,303,0.45874587458745875,0.5818564660466747,0.57760651591298,0.2743091909407953,0.18806237611833576,0.45874587458745875,0.5,1.0,0.0,1.0,0.6345967548121714
dual_head,switzerland,cleveland,9,dlar_lcl,303,0.45874587458745875,0.5819003333918231,0.5796180755926998,0.2748392448887084,0.18698363807728577,0.45874587458745875,0.5,1.0,0.0,1.0,0.6366912142278338
dual_head,switzerland,hungary,0,dual_head_source_only,294,0.36054421768707484,0.46718185467683665,0.3486071931241167,0.30464943146681694,0.26908403107909123,0.36054421768707484,0.5,1.0,0.0,1.0,0.629628248766166
dual_head,switzerland,hungary,0,dlar_lcl,294,0.36054421768707484,0.45368325973504614,0.34281068315951996,0.3054864522477776,0.26944539863236094,0.36054421768707484,0.5,1.0,0.0,1.0,0.6299896163194358
dual_head,switzerland,hungary,1,dual_head_source_only,294,0.36054421768707484,0.6754817342432757,0.5855765733178304,0.2801466814571439,0.24074370459634425,0.36054421768707484,0.5,1.0,0.0,1.0,0.599270066639193
dual_head,switzerland,hungary,1,dlar_lcl,294,0.36054421768707484,0.6711661983139301,0.5799236989027958,0.28074095654425135,0.24220107810026933,0.36054421768707484,0.5,1.0,0.0,1.0,0.6007585991807536
dual_head,switzerland,hungary,2,dual_head_source_only,294,0.36054421768707484,0.6115264953833802,0.4626211436361359,0.32651401780676437,0.31560009028635866,0.36054421768707484,0.5,1.0,0.0,1.0,0.6761443079734335
dual_head,switzerland,hungary,2,dlar_lcl,294,0.36054421768707484,0.6103472501003613,0.4619444410751256,0.32635810045396707,0.3153423772377221,0.36054421768707484,0.5,1.0,0.0,1.0,0.675886594924797
dual_head,switzerland,hungary,3,dual_head_source_only,294,0.36054421768707484,0.7699217181854677,0.6159678513660845,0.3360643243376174,0.3521314924266063,0.36054421768707484,0.5,1.0,0.0,1.0,0.7126757101136811
dual_head,switzerland,hungary,3,dlar_lcl,294,0.36054421768707484,0.7727318346045765,0.6200175202721512,0.336331159456194,0.35334905171069975,0.36054421768707484,0.5,1.0,0.0,1.0,0.7138932693977745
dual_head,switzerland,hungary,4,dual_head_source_only,294,0.36054421768707484,0.8594941790445604,0.8081925275281813,0.3768400593774514,0.4218914036442633,0.36054421768707484,0.5,1.0,0.0,1.0,0.7801111731804958
dual_head,switzerland,hungary,4,dlar_lcl,294,0.36054421768707484,0.8617021276595745,0.8104389307475376,0.37462655914699994,0.42026867752983466,0.36054421768707484,0.5,1.0,0.0,1.0,0.7785504740111682
dual_head,switzerland,hungary,5,dual_head_source_only,294,0.36054421768707484,0.631172219991971,0.4542776662266594,0.32181971036713863,0.3079183373321482,0.36054421768707484,0.5,1.0,0.0,1.0,0.6684625550192229
dual_head,switzerland,hungary,5,dlar_lcl,294,0.36054421768707484,0.6180750702529105,0.43904439748440705,0.3222296723484608,0.3080764070254606,0.36054421768707484,0.5,1.0,0.0,1.0,0.6686206247125354
dual_head,switzerland,hungary,6,dual_head_source_only,294,0.36054421768707484,0.2939582496989161,0.2663983390913422,0.4143940559993794,0.412416131318021,0.36054421768707484,0.5,1.0,0.0,1.0,0.7729603490050958
dual_head,switzerland,hungary,6,dlar_lcl,294,0.36054421768707484,0.28402248093135285,0.2628126640923331,0.41499170532403973,0.41320702190301856,0.36054421768707484,0.5,1.0,0.0,1.0,0.772482804497894
dual_head,switzerland,hungary,7,dual_head_source_only,294,0.36054421768707484,0.8344038538739462,0.7536351528783615,0.3221551417605178,0.35551792139909705,0.36054421768707484,0.5,1.0,0.0,1.0,0.6786011887245438
dual_head,switzerland,hungary,7,dlar_lcl,294,0.36054421768707484,0.842884383781614,0.7692520418594648,0.3210896343267292,0.3545840723173959,0.36054421768707484,0.5,1.0,0.0,1.0,0.677880987018144
dual_head,switzerland,hungary,8,dual_head_source_only,294,0.36054421768707484,0.5021577679646728,0.3718294145596498,0.3369167901004901,0.3253176745508804,0.36054421768707484,0.5,1.0,0.0,1.0,0.6858618922379552
dual_head,switzerland,hungary,8,dlar_lcl,294,0.36054421768707484,0.4968386190285025,0.3667489338536517,0.3364804754897801,0.3242935071997091,0.36054421768707484,0.5,1.0,0.0,1.0,0.684837724886784
dual_head,switzerland,hungary,9,dual_head_source_only,294,0.36054421768707484,0.7476415094339622,0.6824141975523429,0.30353152375273756,0.31376713352138497,0.36054421768707484,0.5,1.0,0.0,1.0,0.6492892167195171
dual_head,switzerland,hungary,9,dlar_lcl,294,0.36054421768707484,0.7557205941388999,0.6934472684729055,0.30245664708467274,0.3192836135423102,0.36054421768707484,0.5,1.0,0.0,1.0,0.6490835673144074
dual_head,switzerland,va_long_beach,0,dual_head_source_only,200,0.745,0.4919726279773654,0.7305616038475807,0.20522632777422928,0.12189082413911814,0.745,0.5,1.0,0.0,1.0,0.6231091758608818
dual_head,switzerland,va_long_beach,0,dlar_lcl,200,0.745,0.49131464666403474,0.729460338524144,0.2050991412189797,0.12120653659105295,0.745,0.5,1.0,0.0,1.0,0.623793463408947
dual_head,switzerland,va_long_beach,1,dual_head_source_only,200,0.745,0.6264640084221609,0.8433112445937068,0.21113774678131797,0.15910863399505615,0.745,0.5,1.0,0.0,1.0,0.5858913660049438
dual_head,switzerland,va_long_beach,1,dlar_lcl,200,0.745,0.6251480457954994,0.84228435152712,0.21066596588516417,0.15803653210401536,0.745,0.5,1.0,0.0,1.0,0.5869634678959846
dual_head,switzerland,va_long_beach,2,dual_head_source_only,200,0.745,0.5921173838662982,0.8118108241533207,0.19011854378773127,0.05330072820186614,0.745,0.5,1.0,0.0,1.0,0.6916992717981338
dual_head,switzerland,va_long_beach,2,dlar_lcl,200,0.745,0.5906698249769706,0.810653102902676,0.19013588668995965,0.0534232899546623,0.745,0.5,1.0,0.0,1.0,0.6915767100453377
dual_head,switzerland,va_long_beach,3,dual_head_source_only,200,0.745,0.6746282405579682,0.8629625212470255,0.1815544627426145,0.06522034972906111,0.745,0.5,1.0,0.0,1.0,0.7156329241394996
dual_head,switzerland,va_long_beach,3,dlar_lcl,200,0.745,0.6785761284379525,0.8654544194764527,0.18110986678669136,0.06647372186183928,0.745,0.5,1.0,0.0,1.0,0.7170453900098801
dual_head,switzerland,va_long_beach,4,dual_head_source_only,200,0.745,0.7039742071325175,0.8747991124825261,0.18521749627990874,0.08327105522155762,0.745,0.5,1.0,0.0,1.0,0.8185141187906265
dual_head,switzerland,va_long_beach,4,dlar_lcl,200,0.745,0.7043689959205159,0.8751227766464393,0.18489196859983692,0.08379747182130813,0.745,0.5,1.0,0.0,1.0,0.8182876017689705
dual_head,switzerland,va_long_beach,5,dual_head_source_only,200,0.745,0.6125148045795499,0.7945273161777715,0.19235083108564838,0.06816265434026719,0.745,0.5,1.0,0.0,1.0,0.6768373456597329
dual_head,switzerland,va_long_beach,5,dlar_lcl,200,0.745,0.6183050401368602,0.7973065782564202,0.1920700676687602,0.06812458187341695,0.745,0.5,1.0,0.0,1.0,0.6768754181265831
dual_head,switzerland,va_long_beach,6,dual_head_source_only,200,0.745,0.5069746019213054,0.7392778274203031,0.19098153165997772,0.041508371233940106,0.745,0.5,1.0,0.0,1.0,0.7564042657613754
dual_head,switzerland,va_long_beach,6,dlar_lcl,200,0.745,0.5050006579813133,0.7374301789308466,0.191117216553872,0.04985323935747152,0.745,0.5,1.0,0.0,1.0,0.7577628228068352
dual_head,switzerland,va_long_beach,7,dual_head_source_only,200,0.745,0.7192393736017897,0.8717278714861528,0.18734930469905628,0.05259979486465454,0.745,0.5,1.0,0.0,1.0,0.6924002051353455
dual_head,switzerland,va_long_beach,7,dlar_lcl,200,0.745,0.7202921437031189,0.8734946491218327,0.18708112978420133,0.05173406511545186,0.745,0.5,1.0,0.0,1.0,0.6932659348845482
dual_head,switzerland,va_long_beach,8,dual_head_source_only,200,0.745,0.563824187393078,0.7970068356036606,0.19372707746391968,0.07360017865896218,0.745,0.5,1.0,0.0,1.0,0.6713998213410377
dual_head,switzerland,va_long_beach,8,dlar_lcl,200,0.745,0.5663245163837346,0.7987403127643484,0.19358337175308646,0.07373633384704584,0.745,0.5,1.0,0.0,1.0,0.6712636661529541
dual_head,switzerland,va_long_beach,9,dual_head_source_only,200,0.745,0.6446242926700881,0.8330305894784943,0.19520177130169244,0.10271121025085449,0.745,0.5,1.0,0.0,1.0,0.643053308725357
dual_head,switzerland,va_long_beach,9,dlar_lcl,200,0.745,0.6492301618634032,0.8350176063253205,0.19455728143474033,0.11145544767379754,0.745,0.5,1.0,0.0,1.0,0.6441560167074204
