architecture,source,target,direction,seed,method,method_label,n,prevalence,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate,mean_probability,tn,fp,fn,tp
dual_head,cleveland,hungary,Cleveland -> Hungary,5,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.7993197278911565,0.7793054997992774,0.7281553398058253,0.7075471698113207,0.851063829787234,0.7177033492822966,0.562219681024836,0.8500100361300683,0.8057623364428399,0.1623518654540434,0.14201217986085787,0.35034013605442177,0.48506370019547795,160,28,31,75
dual_head,cleveland,hungary,Cleveland -> Hungary,5,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.7993197278911565,0.7793054997992774,0.7281553398058253,0.7075471698113207,0.851063829787234,0.7177033492822966,0.562219681024836,0.8496587715776797,0.8056441432749747,0.16095710977611666,0.13378093376451608,0.35034013605442177,0.48268476736788846,160,28,31,75
dual_head,cleveland,hungary,Cleveland -> Hungary,6,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8061224489795918,0.7928542753914091,0.7247706422018348,0.7452830188679245,0.8404255319148937,0.7348837209302326,0.5822564503733227,0.8653653151344842,0.8289693505762374,0.1491972449400023,0.14630642355907533,0.3707482993197279,0.4314312554236983,158,30,27,79
dual_head,cleveland,hungary,Cleveland -> Hungary,6,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8027210884353742,0.7901947009233239,0.7181818181818181,0.7452830188679245,0.8351063829787234,0.7314814814814815,0.5758986714094267,0.8652147731834605,0.8290650874695552,0.14823394754659364,0.14241222669782283,0.3741496598639456,0.4298142523941945,157,31,27,79
dual_head,cleveland,hungary,Cleveland -> Hungary,7,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8061224489795918,0.7907968687274187,0.7289719626168224,0.7358490566037735,0.8457446808510638,0.7323943661971831,0.5804153460814016,0.854124849458049,0.8196515943528918,0.14965576211356255,0.12048065852449864,0.36394557823129253,0.4452731502654196,159,29,28,78
dual_head,cleveland,hungary,Cleveland -> Hungary,7,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8061224489795918,0.7887394620634283,0.7333333333333333,0.7264150943396226,0.851063829787234,0.7298578199052133,0.5786852919443494,0.8539743075070252,0.8193075293442159,0.14823810135669802,0.11560119835495136,0.35714285714285715,0.43961284492088826,160,28,29,77
dual_head,cleveland,hungary,Cleveland -> Hungary,8,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.7925170068027211,0.7801585708550782,0.7027027027027027,0.7358490566037735,0.824468085106383,0.7188940092165899,0.5549817882835634,0.8593938177438779,0.8195227373488584,0.1461975990896049,0.09030053836806698,0.37755102040816324,0.43608042951293136,155,33,28,78
dual_head,cleveland,hungary,Cleveland -> Hungary,8,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.7959183673469388,0.7828181453231633,0.7090909090909091,0.7358490566037735,0.8297872340425532,0.7222222222222222,0.5612597115793756,0.8591429144921717,0.8194376877802104,0.1457984741637839,0.09127184737245647,0.3741496598639456,0.43283046195346886,156,32,28,78
dual_head,cleveland,hungary,Cleveland -> Hungary,9,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.7993197278911565,0.7834203131272581,0.719626168224299,0.7264150943396226,0.8404255319148937,0.7230046948356808,0.5656921267761443,0.8651144118827779,0.8255486954048843,0.14351558179502458,0.10263907032556274,0.36394557823129253,0.44480885327065073,158,30,29,77
dual_head,cleveland,hungary,Cleveland -> Hungary,9,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.7993197278911565,0.7834203131272581,0.719626168224299,0.7264150943396226,0.8404255319148937,0.7230046948356808,0.5656921267761443,0.8642111601766359,0.8247247225258769,0.14322379824267653,0.1012713641536479,0.36394557823129253,0.443420408331618,158,30,29,77
dual_head,cleveland,switzerland,Cleveland -> Switzerland,0,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7880434782608695,0.9823289604156208,0.15647099759326152,0.27878112158155055,0.7723577235772358,0.6572881379747778,4,4,24,91
dual_head,cleveland,switzerland,Cleveland -> Switzerland,0,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7847826086956522,0.9821041143930258,0.15980998952758438,0.28049586156034856,0.7560975609756098,0.6554804079658617,4,4,26,89
dual_head,cleveland,switzerland,Cleveland -> Switzerland,1,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7560975609756098,0.5788043478260869,0.9473684210526315,0.782608695652174,0.375,0.8571428571428571,0.09269008282833588,0.7347826086956522,0.9773429007036403,0.18268610876611488,0.32479261073882026,0.7723577235772358,0.6101667388546758,3,5,25,90
dual_head,cleveland,switzerland,Cleveland -> Switzerland,1,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7398373983739838,0.5701086956521739,0.946236559139785,0.7652173913043478,0.375,0.8461538461538461,0.08051813277436236,0.7326086956521739,0.9770777287769112,0.1860587012370839,0.32645248447552444,0.7560975609756098,0.6085068651179715,3,5,27,88
